filename	subfolder	en	am	artist
Berta-0022.png	BenishangulGumuz	girl,boy,sad,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0023.png	BenishangulGumuz	boy,girl,happy,village,talking,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0024.png	BenishangulGumuz	boy,girl,happy,standing,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0025.png	BenishangulGumuz	women,sitting,drinking,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0026.png	BenishangulGumuz	girl,boy,playing,ball,village,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0027.png	BenishangulGumuz	woman,child,bath,hygiene,childcare,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0028.png	BenishangulGumuz	farm,tractor,grain,harvest,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0029.png	BenishangulGumuz	farm,tractor,grain,hay,harvest,reaping,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0030.png	BenishangulGumuz	farm,grain,hay,harvest,reaping,cow,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0031.png	BenishangulGumuz	farm,grain,selling,buying,harvest,cow,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0032.png	BenishangulGumuz	grain,sad,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0033.png	BenishangulGumuz	conference,speech,lecture,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0034.png	BenishangulGumuz	tractor,plowinng,field,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0035.png	BenishangulGumuz	man,cows,field,plowing,driving,Ethiopia,Berta,BenishangulGumuz	Senait Worku
Berta-0036.png	BenishangulGumuz	huts,traditional,compound,women,broom,sweeping,yard,Ethiopia,Berta,BenishangulGumuz	Senait Worku
Berta-0037.png	BenishangulGumuz	women,sitting,waiting,vaccination,nurse,clinic,Ethiopia,Berta,BenishangulGumuz	Senait Worku
Berta-0038.png	BenishangulGumuz	mothers,women,babies,vaccination,nurse,tree,Ethiopia,Berta,BenishangulGumuz	Senait Worku
BG-0001.png	BenishangulGumuz	woman,dress,sitting,Ethiopia,BenishangulGumuz		Senait Worku
BG-0002.png	BenishangulGumuz	woman,planting,farming,Ethiopia,BenishangulGumuz		Senait Worku
BG-0003.png	BenishangulGumuz	woman,hoeing,farming,Ethiopia,BenishangulGumuz		Senait Worku
BG-0004.png	BenishangulGumuz	woman,women,farming,planting,hoeing,Ethiopia,BenishangulGumuz		Senait Worku
BG-0005.png	BenishangulGumuz	woman,women,market,buying,selling,onions,Ethiopia,BenishangulGumuz		Senait Worku
